position_id,seed_price,position_value_at_seed,loan_amount,close_price,position_value_at_close,hold_value,impermanent_loss,impermanent_loss_pct,health_factor,should_liquidate,repay_amount,collateral_to_take
id#0,474.1800,5871.07,3816.20,428.3500,5454.90,5601.29,-0.026135,-2.61,1.000586,No,0.00,0.00
id#1,474.1800,7498.89,4874.28,428.3500,7127.00,7189.27,-0.008662,-0.87,1.023516,No,0.00,0.00
id#2,474.1800,7449.04,4841.88,428.3500,7135.76,7173.36,-0.005241,-0.52,1.031631,No,0.00,0.00
id#3,474.1800,8912.86,5793.36,428.3500,8352.54,8511.66,-0.018695,-1.87,1.009220,No,0.00,0.00
id#4,474.1800,8926.82,5802.43,428.3500,8567.58,8607.75,-0.004667,-0.47,1.033584,No,0.00,0.00
id#5,474.1800,5994.99,3896.74,428.3500,5621.93,5725.74,-0.018132,-1.81,1.009907,No,0.00,0.00
id#6,474.1800,8077.60,5250.44,428.3500,7690.01,7750.29,-0.007778,-0.78,1.025248,No,0.00,0.00
id#7,474.1800,7929.90,5154.43,428.3500,7477.23,7582.05,-0.013825,-1.38,1.015448,No,0.00,0.00
id#8,474.1800,5084.01,3304.61,428.3500,4828.20,4872.48,-0.009088,-0.91,1.022735,No,0.00,0.00
id#9,474.1800,4497.42,2923.32,428.3500,4293.00,4321.35,-0.006561,-0.66,1.027973,No,0.00,0.00
id#10,474.1800,5209.95,3386.47,428.3500,4959.28,4998.50,-0.007846,-0.78,1.025109,No,0.00,0.00
id#11,474.1800,5740.54,3731.35,428.3500,5359.36,5479.38,-0.021903,-2.19,1.005414,No,0.00,0.00
id#12,474.1800,5077.85,3300.60,428.3500,4828.44,4869.30,-0.008392,-0.84,1.024028,No,0.00,0.00
id#13,474.1800,8529.15,5543.95,428.3500,8106.36,8177.08,-0.008649,-0.86,1.023539,No,0.00,0.00
id#14,474.1800,5418.05,3521.74,428.3500,5110.18,5180.75,-0.013622,-1.36,1.015728,No,0.00,0.00
id#15,474.1800,8087.48,5256.86,428.3500,7757.97,7795.52,-0.004818,-0.48,1.033045,No,0.00,0.00
id#16,474.1800,5494.05,3571.13,428.3500,5244.19,5278.88,-0.006571,-0.66,1.027947,No,0.00,0.00
id#17,474.1800,5756.32,3741.61,428.3500,5518.63,5546.30,-0.004989,-0.50,1.032456,No,0.00,0.00
id#18,474.1800,4936.48,3208.71,428.3500,4703.59,4738.50,-0.007367,-0.74,1.026117,No,0.00,0.00
id#19,474.1800,6044.63,3929.01,428.3500,5771.58,5808.98,-0.006438,-0.64,1.028275,No,0.00,0.00
id#20,474.1800,5092.46,3310.10,428.3500,4820.42,4874.53,-0.011100,-1.11,1.019395,No,0.00,0.00
id#21,474.1800,7929.62,5154.25,428.3500,7497.34,7587.47,-0.011878,-1.19,1.018216,No,0.00,0.00
id#22,474.1800,9655.21,6275.88,428.3500,9075.52,9225.36,-0.016242,-1.62,1.012266,No,0.00,0.00
id#23,474.1800,5750.41,3737.77,428.3500,5517.48,5543.79,-0.004746,-0.47,1.033300,No,0.00,0.00
id#24,474.1800,6426.08,4176.95,428.3500,6022.85,6136.94,-0.018589,-1.86,1.009349,No,0.00,0.00
id#25,474.1800,8557.71,5562.51,428.3500,8087.87,8187.44,-0.012161,-1.22,1.017798,No,0.00,0.00
id#26,474.1800,8366.84,5438.44,428.3500,7937.92,8015.43,-0.009671,-0.97,1.021715,No,0.00,0.00
