date,open_price,close_price,price_change,number_of_liquidations,average_health_factor
2015-08-07 00:00:00+00:00,2.00,2.83,41.50,0,1.146026
2015-08-08 00:00:00+00:00,2.83,1.33,-53.00,500,0.584582
2015-08-10 00:00:00+00:00,1.33,0.69,-48.30,500,0.640349
2015-08-11 00:00:00+00:00,0.69,1.07,55.24,0,1.146213
2015-08-12 00:00:00+00:00,1.07,1.26,17.73,0,1.128106
2015-08-13 00:00:00+00:00,1.26,1.83,45.26,0,1.147028
2015-08-14 00:00:00+00:00,1.83,1.83,0.03,0,1.077066
2015-08-15 00:00:00+00:00,1.83,1.67,-8.54,0,1.030754
2015-08-16 00:00:00+00:00,1.67,1.48,-11.58,92,1.010918
2015-08-17 00:00:00+00:00,1.48,1.20,-18.73,500,0.955128
2015-08-18 00:00:00+00:00,1.20,1.28,6.78,0,1.102950
2015-08-19 00:00:00+00:00,1.28,1.25,-2.24,0,1.066364
2015-08-20 00:00:00+00:00,1.25,1.48,18.48,0,1.129355
2015-08-21 00:00:00+00:00,1.48,1.41,-5.00,0,1.051894
2015-08-22 00:00:00+00:00,1.41,1.38,-2.08,0,1.067105
2015-08-23 00:00:00+00:00,1.38,1.36,-1.85,0,1.068170
2015-08-24 00:00:00+00:00,1.36,1.25,-7.76,0,1.035403
2015-08-25 00:00:00+00:00,1.25,1.16,-7.13,0,1.039575
2015-08-26 00:00:00+00:00,1.16,1.12,-3.55,0,1.059530
2015-08-27 00:00:00+00:00,1.12,1.13,1.26,0,1.082401
2015-08-28 00:00:00+00:00,1.13,1.19,4.87,0,1.096591
2015-08-29 00:00:00+00:00,1.19,1.17,-1.22,0,1.071291
2015-08-30 00:00:00+00:00,1.17,1.32,12.60,0,1.118899
2015-08-31 00:00:00+00:00,1.32,1.35,2.35,0,1.086973
2015-09-01 00:00:00+00:00,1.35,1.35,-0.19,0,1.076063
2015-09-02 00:00:00+00:00,1.35,1.28,-5.33,0,1.050080
2015-09-03 00:00:00+00:00,1.28,1.26,-1.25,0,1.071084
2015-09-04 00:00:00+00:00,1.26,1.27,0.53,0,1.079314
2015-09-05 00:00:00+00:00,1.27,1.33,5.16,0,1.097528
2015-09-06 00:00:00+00:00,1.33,1.30,-2.62,0,1.064441
2015-09-07 00:00:00+00:00,1.30,1.26,-3.37,0,1.060583
2015-09-08 00:00:00+00:00,1.26,1.24,-1.61,0,1.069340
2015-09-09 00:00:00+00:00,1.24,1.21,-2.39,0,1.065507
2015-09-10 00:00:00+00:00,1.21,1.17,-3.26,0,1.061217
