position_id,seed_price,position_value_at_seed,loan_amount,close_price,position_value_at_close,hold_value,impermanent_loss,impermanent_loss_pct,health_factor,should_liquidate,repay_amount,collateral_to_take
id#0,2657.9904,5432.84,3531.35,2641.5361,5400.30,6424.50,-0.159421,-15.94,1.070472,No,0.00,0.00
id#1,2657.9904,5458.11,3547.77,2641.5361,5458.11,8409.96,-0.350994,-35.10,1.076923,No,0.00,0.00
id#2,2657.9904,7020.62,4563.40,2641.5361,7004.22,7004.33,-0.000016,-0.00,1.074407,No,0.00,0.00
id#3,2657.9904,6375.14,4143.84,2641.5361,6375.14,8950.30,-0.287717,-28.77,1.076923,No,0.00,0.00
id#4,2657.9904,5748.11,3736.27,2641.5361,5748.11,6896.44,-0.166511,-16.65,1.076923,No,0.00,0.00
id#5,2657.9904,5949.66,3867.28,2641.5361,5935.39,5935.39,-0.000001,-0.00,1.074340,No,0.00,0.00
id#6,2657.9904,5966.54,3878.25,2641.5361,5966.54,7125.16,-0.162610,-16.26,1.076923,No,0.00,0.00
id#7,2657.9904,4466.84,2903.44,2641.5361,4466.84,6594.81,-0.322674,-32.27,1.076923,No,0.00,0.00
id#8,2657.9904,5399.78,3509.85,2641.5361,5378.25,5658.14,-0.049467,-4.95,1.072629,No,0.00,0.00
id#9,2657.9904,4585.11,2980.32,2641.5361,4585.11,5935.92,-0.227566,-22.76,1.076923,No,0.00,0.00
id#10,2657.9904,5885.77,3825.75,2641.5361,5851.65,6895.50,-0.151381,-15.14,1.070680,No,0.00,0.00
id#11,2657.9904,5696.53,3702.74,2641.5361,5696.53,7245.40,-0.213773,-21.38,1.076923,No,0.00,0.00
id#12,2657.9904,7321.01,4758.66,2641.5361,7303.40,7303.95,-0.000075,-0.01,1.074333,No,0.00,0.00
id#13,2657.9904,4804.24,3122.75,2641.5361,4804.24,6432.55,-0.253136,-25.31,1.076923,No,0.00,0.00
id#14,2657.9904,5394.33,3506.31,2641.5361,5360.93,6081.58,-0.118496,-11.85,1.070256,No,0.00,0.00
id#15,2657.9904,4932.89,3206.38,2641.5361,4932.89,6844.20,-0.279259,-27.93,1.076923,No,0.00,0.00
id#16,2657.9904,4567.64,2968.97,2641.5361,4567.64,6586.19,-0.306482,-30.65,1.076923,No,0.00,0.00
id#17,2657.9904,7120.95,4628.62,2641.5361,7108.45,7157.98,-0.006919,-0.69,1.075033,No,0.00,0.00
